,professor_name,lecture_name,aspect,rate,score
0,Abolghasem Sadeghi-Niaraki,소프트웨어특강1,교수,20.0,-1.0
1,Alberto Giacchini,비즈니스커뮤니케이션1,과제,90.0,0.0
2,Alberto Giacchini,비즈니스커뮤니케이션1,교수,90.0,1.0
3,Alberto Giacchini,비즈니스커뮤니케이션1,수업,80.0,-1.0
4,Alberto Giacchini,비즈니스커뮤니케이션1,시험,95.0,0.0
5,Alberto Giacchini,비즈니스커뮤니케이션1,학점,100.0,-0.5
6,Anish Prasad Shrestha,프로그래밍언어의개념,과제,100.0,1.0
7,Anish Prasad Shrestha,프로그래밍언어의개념,교수,100.0,1.0
8,Anish Prasad Shrestha,프로그래밍언어의개념,수업,90.0,0.75
9,Anish Prasad Shrestha,프로그래밍언어의개념,시험,100.0,0.0
10,Catherine Gallagher,English Listening Practice 1,과제,100.0,0.4
11,Catherine Gallagher,English Listening Practice 1,교수,97.14285714285714,0.8571428571428571
12,Catherine Gallagher,English Listening Practice 1,수업,100.0,0.2
13,Catherine Gallagher,English Listening Practice 1,시험,93.33333333333331,0.3333333333333333
14,Catherine Gallagher,English Listening Practice 1,학점,95.0,0.75
15,David Alan Mason,문화관광경영론,과제,40.0,-1.0
16,David Alan Mason,문화관광경영론,수업,40.0,-1.0
17,David Alan Mason,문화관광경영론,학점,40.0,-1.0
18,David M Hindman,English Reading Practice 1,과제,100.0,0.5
19,David M Hindman,English Reading Practice 1,교수,84.0,0.4
20,David M Hindman,English Reading Practice 1,수업,80.0,0.5
21,David M Hindman,English Reading Practice 1,시험,100.0,0.0
22,David M Hindman,English Reading Practice 1,학점,88.57142857142857,0.2857142857142857
23,Gordon MacCoy,English Listening Practice 1,과제,74.78260869565217,0.0
24,Gordon MacCoy,English Listening Practice 1,교수,72.5,0.5
25,Gordon MacCoy,English Listening Practice 1,수업,72.0,0.3
26,Gordon MacCoy,English Listening Practice 1,시험,75.0,0.25
27,Gordon MacCoy,English Listening Practice 1,학점,80.0,1.0
28,Gordon MacCoy,Job Hunting Skills,과제,60.0,0.0
29,Gordon MacCoy,Job Hunting Skills,교수,60.0,0.0
30,Gordon MacCoy,Job Hunting Skills,수업,60.0,0.0
31,Gordon Maccoy,English Reading Practice 1,과제,80.0,-0.5
32,Gordon Maccoy,English Reading Practice 1,교수,86.66666666666667,1.0
33,Gordon Maccoy,English Reading Practice 1,수업,76.0,0.4
34,Gordon Maccoy,English Reading Practice 1,시험,90.0,0.5
35,Gordon Maccoy,English Reading Practice 1,학점,60.0,0.0
36,Joanne Kim-Yamada,English Listening Practice 1,과제,63.333333333333336,0.0
37,Joanne Kim-Yamada,English Listening Practice 1,교수,64.0,0.9
38,Joanne Kim-Yamada,English Listening Practice 1,수업,50.0,-0.2142857142857142
39,Joanne Kim-Yamada,English Listening Practice 1,시험,100.0,1.0
40,Joanne Kim-Yamada,English Listening Practice 1,학점,50.0,0.5
41,Joanne Kim-Yamada,English Reading Practice 1,과제,50.0,0.1666666666666666
42,Joanne Kim-Yamada,English Reading Practice 1,교수,60.0,0.0
43,Joanne Kim-Yamada,English Reading Practice 1,수업,80.0,-0.3333333333333333
44,Joanne Kim-Yamada,English Reading Practice 1,시험,60.0,0.0
45,Joanne Kim-Yamada,English Reading Practice 1,학점,90.0,0.0
46,Joanne Taeyoung Kim,English Listening Practice 1,교수,100.0,1.0
47,Joanne Taeyoung Kim,English Listening Practice 1,학점,100.0,0.5
48,Joanne Taeyoung Kim,English Reading Practice 1,교수,80.0,0.0
49,Joanne Taeyoung Kim,English Writing 2,과제,83.33333333333333,-0.3333333333333333
50,Joanne Taeyoung Kim,English Writing 2,교수,90.0,0.5
51,Joanne Taeyoung Kim,English Writing 2,수업,73.33333333333333,0.3333333333333333
52,Joanne Taeyoung Kim,English Writing 2,시험,93.33333333333331,0.0
53,Joanne Taeyoung Kim,English Writing 2,학점,80.0,1.0
54,John P. Bernabei,English Listening Practice 1,과제,80.0,1.0
55,John P. Bernabei,English Reading Practice 1,과제,92.0,0.2
56,John P. Bernabei,English Reading Practice 1,교수,82.5,0.125
57,John P. Bernabei,English Reading Practice 1,수업,84.0,-0.2
58,John P. Bernabei,English Reading Practice 1,시험,64.0,-0.2
59,John P. Bernabei,English Reading Practice 1,학점,80.0,0.8
60,John P. Bernabei,English Writing 2,과제,100.0,0.5
61,John P. Bernabei,English Writing 2,수업,64.0,-0.4285714285714285
62,John P. Bernabei,English Writing 2,시험,61.81818181818182,-0.2
63,Jordan Jamie Green,English Listening Practice 1,과제,100.0,1.0
64,Jordan Jamie Green,English Listening Practice 1,교수,92.0,1.0
65,Jordan Jamie Green,English Listening Practice 1,수업,100.0,1.0
66,Jordan Jamie Green,English Listening Practice 1,시험,100.0,0.0
67,Jordan Jamie Green,English Listening Practice 1,학점,100.0,1.0
68,Jordan Jamie Green,English Reading Practice 1,과제,100.0,0.0
69,Jordan Jamie Green,English Reading Practice 1,교수,100.0,1.0
70,Jordan Jamie Green,English Reading Practice 1,수업,100.0,1.0
71,Julian Kibum Chung,English Listening Practice 1,과제,64.0,0.2
72,Julian Kibum Chung,English Listening Practice 1,교수,68.0,0.4
73,Julian Kibum Chung,English Listening Practice 1,수업,74.73684210526316,0.3157894736842105
74,Julian Kibum Chung,English Listening Practice 1,시험,62.85714285714285,-0.1428571428571428
75,Julian Kibum Chung,English Listening Practice 1,학점,72.0,0.3
76,Julian Kibum Chung,English Reading Practice 1,과제,80.0,0.0
77,Julian Kibum Chung,English Reading Practice 1,교수,100.0,1.0
78,Julian Kibum Chung,English Reading Practice 1,수업,100.0,1.0
79,Julian Kibum Chung,English Reading Practice 1,시험,95.0,0.0
80,Julian Kibum Chung,English Reading Practice 1,학점,50.0,-0.5
81,Julian Kibum Chung,Job Hunting Skills,과제,80.0,0.0
82,Julian Kibum Chung,Job Hunting Skills,교수,80.0,0.0
83,Julian Kibum Chung,Job Hunting Skills,수업,70.0,0.0
84,Kyle F McCullagh,English Listening Practice 1,과제,90.0,0.5
85,Kyle F McCullagh,English Listening Practice 1,교수,91.25,0.8125
86,Kyle F McCullagh,English Listening Practice 1,수업,90.0,0.6666666666666666
87,Kyle F McCullagh,English Listening Practice 1,시험,100.0,0.3333333333333333
88,Kyle F McCullagh,English Listening Practice 1,학점,100.0,0.3333333333333333
89,Mamta AGIWAL,데이터통신,과제,20.0,-0.5
90,Mamta AGIWAL,데이터통신,수업,20.0,-1.0
91,Mamta AGIWAL,데이터통신,시험,20.0,-0.5
92,Maria Choe,English Listening Practice 1,과제,60.0,-0.4
93,Maria Choe,English Listening Practice 1,교수,60.0,1.0
94,Maria Choe,English Listening Practice 1,수업,70.0,0.5
95,Maria Choe,English Listening Practice 1,시험,70.0,0.5
96,Maria Choe,English Listening Practice 1,학점,60.0,-0.2
97,Maria Choe,English Reading Practice 1,과제,45.0,-0.75
98,Maria Choe,English Reading Practice 1,교수,66.66666666666667,0.3333333333333333
99,Maria Choe,English Reading Practice 1,수업,40.0,0.0
100,Maria Choe,English Reading Practice 1,학점,100.0,0.0
101,Maria Choe,English Writing 2,과제,40.0,-1.0
102,Maria Choe,English Writing 2,교수,40.0,-0.25
103,Maria Choe,English Writing 2,수업,46.66666666666666,0.0
104,Maria Choe,English Writing 2,시험,52.0,-0.2
105,Maria Choe,English Writing 2,학점,40.0,-0.4
106,Mark Daniel Mechem,English Listening Practice 1,과제,100.0,0.0
107,Mark Daniel Mechem,English Listening Practice 1,교수,97.5,0.875
108,Mark Daniel Mechem,English Listening Practice 1,수업,90.0,1.0
109,Mark Daniel Mechem,English Listening Practice 1,시험,100.0,0.0
110,Mark Daniel Mechem,English Reading Practice 1,과제,62.85714285714285,-0.2857142857142857
111,Mark Daniel Mechem,English Reading Practice 1,교수,70.0,0.5
112,Mark Daniel Mechem,English Reading Practice 1,수업,84.0,0.2
113,Mark Daniel Mechem,English Reading Practice 1,시험,93.33333333333331,0.0
114,Mark Daniel Mechem,English Reading Practice 1,학점,80.0,0.5
115,Mark Daniel Mechem,English Writing 2,과제,100.0,0.0
116,Mark Daniel Mechem,English Writing 2,교수,46.66666666666666,-1.0
117,Mark Daniel Mechem,English Writing 2,수업,45.0,-0.5
118,Mark Daniel Mechem,English Writing 2,시험,80.0,0.0
119,Mark Daniel Mechem,English Writing 2,학점,80.0,1.0
120,Michael Andrew Dirks,English Listening Practice 1,과제,76.0,0.2
121,Michael Andrew Dirks,English Listening Practice 1,교수,92.0,1.0
122,Michael Andrew Dirks,English Listening Practice 1,수업,96.66666666666669,0.9166666666666666
123,Michael Andrew Dirks,English Listening Practice 1,시험,100.0,0.5
124,Michael Andrew Dirks,English Listening Practice 1,학점,93.33333333333331,0.4444444444444444
125,Mohammed H. Alsharif,MATLAB프로그래밍,과제,48.0,-0.2
126,Mohammed H. Alsharif,MATLAB프로그래밍,교수,53.333333333333336,0.1666666666666666
127,Mohammed H. Alsharif,MATLAB프로그래밍,수업,80.0,0.5714285714285714
128,Mohammed H. Alsharif,MATLAB프로그래밍,시험,56.0,-0.2
129,Mohammed H. Alsharif,MATLAB프로그래밍,학점,53.333333333333336,-0.3333333333333333
130,Muhammad Raheel Bhutta,HCI개론,수업,100.0,-0.5
131,Muhammad Raheel Bhutta,HCI개론,학점,100.0,1.0
132,Murakami Kenichi,일본어1,교수,60.0,1.0
133,Murakami Kenichi,일본어1,시험,60.0,-1.0
134,Nhu Ngoc DAO,무선통신,수업,80.0,0.0
135,Rajendra Dhakal,C프로그래밍및실습,수업,40.0,-1.0
136,Rajendra Dhakal,C프로그래밍및실습,시험,33.333333333333336,-0.6666666666666666
137,Rajendra Dhakal,디지털시스템,과제,80.0,1.0
138,Rajendra Dhakal,디지털시스템,학점,80.0,0.0
139,Rajendra Dhakal,문제해결및실습:C++,과제,80.0,0.0
140,Rajendra Dhakal,문제해결및실습:C++,교수,80.0,1.0
141,Rajendra Dhakal,문제해결및실습:C++,시험,80.0,0.0
142,Shake Md Riazul Islam,확률통계및프로그래밍,수업,60.0,-1.0
143,Shake Md Riazul Islam,확률통계및프로그래밍,시험,60.0,1.0
144,Shion Kang,English Listening Practice 1,과제,53.333333333333336,-0.1666666666666666
145,Shion Kang,English Listening Practice 1,교수,53.333333333333336,0.6666666666666666
146,Shion Kang,English Listening Practice 1,수업,54.0,-0.3
147,Shion Kang,English Listening Practice 1,시험,64.0,0.6
148,Shion Kang,English Listening Practice 1,학점,45.0,0.0
149,Shion Kang,English Reading Practice 1,과제,80.0,0.0
150,Shion Kang,English Reading Practice 1,교수,40.0,-1.0
151,Shion Kang,English Reading Practice 1,수업,60.0,-0.75
152,Shion Kang,English Reading Practice 1,시험,100.0,0.0
153,Shion Kang,English Reading Practice 1,학점,60.0,0.5
154,Todd Tate,English Reading Practice 1,과제,60.0,0.0
155,Todd Tate,English Reading Practice 1,교수,86.66666666666667,0.3333333333333333
156,Todd Tate,English Reading Practice 1,수업,82.85714285714286,0.0
157,Todd Tate,English Reading Practice 1,시험,80.0,0.125
158,Todd Tate,English Reading Practice 1,학점,65.0,0.25
159,Yano Takayoshi,일본어1,교수,85.71428571428571,0.7142857142857143
160,Yano Takayoshi,일본어1,수업,76.0,0.4
161,Yano Takayoshi,일본어1,시험,80.0,0.0
162,Yano Takayoshi,일본어1,학점,100.0,0.0
