,professor_name,lecture_name,url_id,clean_txt,aspect
0,이재교,법학입문,535020,"중간 개망치고 기말도 틀린 문제 몇 개 있었는데 판례평석 과제 평가는 전부 가장 좋은 성적이었음. 과제들 되게 귀찮고 많다 시험은 말빨 좋으면 된다 난 시험은 망쳤지만 과제는 열심히해서 점수 잘 받았음. 수업만 잘 들으면 시험도 잘 볼 수 있고 성적도 후하게 주시는 편. 과제가 좀 시간이 오래 걸리기는 한데, 판례평석은 민사소송법 강의에서도 내주셔서 어차피 내년에도 하셔야 되니 계속 해야되는거 연습한다 셈 치고 해보시길. 강의내용도 재밌었고 시험문제도 괜찮았구요. 학점은 원래 잘주시는 교수님이시니. 사이버강의라 괜찮았지만 과제는 꽤 많았어요 시험은 수업 잘 들으면 잘 나옴. 교수님 진짜 좋으심 재밌게 수업하려고 노력하시고 이름도 외우시려고 노력하시는게 눈에 보임 다만 재미는 없. 글쓰기 양늘려서 잘 쓰는 사람에게는 문제 없고 성의만 있으면 에이쁠 주시는 것 같음수업 시간에 말한 사례위주로 공부하면 성적 나쁘지 않게 나옴. 당연히 시험문제에도 그닥 영향 안 줌교수님이 수업전에 따로 호명하시면서 눈 마주치심수업 내용은 좋은데 과제가 많이 빡셈 내용이 빡세다기보다는 분량을 채우기 힘든게 큼. 교재 꼼꼼히 안읽어도 교수님 강의 녹음해놨다가 시험기간 전에 한번 들어보기만 하면 시험은 어렵지 않게 풀 수 있. 매우 졸림 과제는 번 있고 모든 과제가 수월하게 할 수 있는 과제는 아님 글 잘 쓰는거 좋아하심 그래도 열심히 하면 A이상은 주심 시험도 수업시간 때 가르쳐주신 개념들 알고있으면 거의 다 적을 수 있고 몰라도 자신의 생각 논리적으로 말하면 점수 주시는 듯함. 중간은 B 받았는데 과제가 생각보다 잘 나와서 점수 잘 나옴 중간 기말도 중요하지만 중간중간 과제 잘 챙기는 것도 점수에 작용하는 것 같. 교수님 강의 잘 들어야함. 과제 평가불가 F B A B B 받았지만 중간 기말만 잘보면 가장 좋은 성적줌 수능 사탐 법과 정치했다면 수업시간에 잠만 자고 시험봐도 가장 좋은 성적나옴 솔직히 강의와 책에서 시험 별로 안나온다고 봐도됨 쓸때 없이 과제에 힘줄 필요없음. 판례평석 잘하면 성적잘 주시는것 같음. 수업은 사례를 많이들어주심그거다적으시고보세요기본적인개념은 다익히시고. 과제가 점수에 딱히 작용을 하지않. 특히 기말은 올 사례형. 교재가 있어도 딱히 시험에 많이 반영이 안됨. 자기 판단을 시험에서 잘 서술하면 점수 잘 주심. 시험은 책에서 나오는게 아님. 평석과제 번인데 이게 제일 어려움. 과제가 매우 많음. 판례평석은 처음에는 감이 잘 안 잡히지만 하다보면 요령이 생김 글빨을 중요하게 생각하시고 무조건 늘어지는 문장보다는 짧게 요약하는 형식을 좋아하심 시험은 교재 볼 필요 없음. 암튼 결론은 최고의 강의였다. 시험은 자기 생각을 논리적으로 쓰는게 중요. 최고의 교수님. 제대로 들어보면 배울 것도 많고 재밌는 강의 그러나 제대로 듣기가 힘든 강의. 한 학기에 과제 네번이었는데 다 A 장이 최소 분량임 그런데 분량 안채워도 내용만 애 쓴 티 나면 점수 잘 주시고 피드백이 있어서 좋음. 그리고 열공한다면 성적 또한 뒷따름이 분명합니다.  시 종이 칠 때쯤 되면 앞에 애들 다 졸고 있음평석이나 방청같은 과제 있. 수업이 집중하면 재미는 있으나 매우 졸림. 과제가 힘듦. 법학과 들어와서 다른 강의들 듣기 전에 수강하기엔 최적화된 과목인듯. 저는 상당히 만족했던 강의였습니다. 다만 과제는 분량 채워쓰기가 쉽지만은 않음. 수업은 ppt 띄워놓으시고 하시는데 보통 교안에 없는 다른 관련 사례를 중심으로 많이 얘기하심. 성적도 결국 가장 좋은 성적 나옴. 과제가 적지는 않다. ",과제
37,정영희,영어학의세계,535037,"나긋나긋하시고 과제 잘하고 시험 잘 보면 에이쁠 주셔요 출결은 크게 신경 안쓰셔도 되고 시험도 배운 내용 안에서 다 나옵니다. 교수님 수업 너무 나긋나긋하고. 목소리가 나긋하시고 작으신편이라 집중이 안될때도 있었지만 과제도 어렵지않았고 강의력도 좋았어요.  중간중간 과제는 간단한 정도로 나와요. 교수님 목소리가 너무 나긋하시고 조용하시긴 하지만 수업은 열정적으로 가르치셔서 나쁘지 않았어요. 재수강생이 많은 이유가 있는 법 개인적으로 수업이 너무 안맞아서 겨우겨우 듣고 끝냄이왕이면 탁진영 교수님꺼 들으시길. 학점 주시는 것도 에이쁠 비쁠 씨쁠 이렇게 무조건 플러스 붙이고 주셔서 학점 잘 나와요. 수업 자체는 나머지 강의평이랑 같이 무난하고 집중만 잘하면 무난하게 성적 받을 수 있음. 어렵다고 하면 어렵지만 수업만 열심히 듣고 그 날 학습한거 그 날 복습하면 시험에 어렵지않게 임할 수 있다. 오죽하면 내가 우연히 교수님 마주쳤는데 나라도 꼬박꼬박 답해줘서 고맙다고 하시더라 아무튼 이 수업을 바탕으로 쉽게 영어학 적응가능하다. 뭐 좀 그럼그래도 과제 하라는거 그때그때 잘 내고 개념훑는 식으로 공부 좀 하고 셤보면 에이쁠 받음. 과제도 많은 편은 아니었다고 생각합니다. 그리고 아그들아 교수님이 질문을 하면 대답이나 호응을 해라 왤케 교수님 무안하게 만드냐. 교수님이 정말 열정적이십니다. 근데 이전평가들도 보면 조별로 뭐 하는거 없었던거 보면, 대체로 조별과제 없다고 보면 될겁니다. 정도 되는거 하나 내신다고 했는데 시간이 모자랐는지 그냥 개인과제로 바뀌었습니다. 조별과제나 발표도 없습니다. 영어학의 기본적인 내용을 공부하는 수업입니다. 시험 난이도도 무난하다. 이상만 가장 좋은 성적이였던걸로 기억함. 근데 중간고사 같은 경우에는 변별력이 없어서. 같은얘기 번씩 하시고 분 넘게하시다가 진도 안나간다고 수업 안끝내주심꽂히는거 있으시면 혼자 웃고 혼자 계속 말씀하시는데 듣는사람은 미칠노릇인내심 좋은 사람 추천. 시험은 총 두번인데 나눠주시는 프린트 위주로 공부하시면 에이쁠 무조건 가능해요. 수업 자체는 이해도 잘 되는 편이고 대체적으로 괜찮아요. 차근히 이해하기 쉽게 설명해주심 자잘한 과제들이 좀 있지만 점수도 잘 주신 듯. 시험도 그리 어렵지않았고, 복전하는 사람이라면 꼭 한번 들어보시길 추천드립니다. ",시험
57,이동영,영어속의논리,535039,"교수님도 초반 과제들을 통해 학습을 유도 하심. 처음에는 내용이 생소하긴하지만 흥미로운 수업이었다 교수님이 설명을 잘 해주시고 은근 과제가 재밌다. 공부 열심히하면 재밌고 그만큼 성적도 잘 받을수 있음논리적으로 생각하고 따져보는 과정이 처음에는 낯설수도 있지만 수업 열심히 듣고 교수님께 질문도하고 싸강이라 이메일로 함 하면 괜찮음. 좀 수학 같은 느낌임교수님 수업 열심히 하시고 강의력이 아주 좋으십니다. 과제는 총 번인가 나왔던 거 같은데 난이도가 쉽진 않습니다 평소에 강의 잘 들어놓고 계셔야함시험은 수업 때 배운 내용을 응용한 문제가 나옵니다. 배우다 보면 나름 재밌어진다 그리고 과제는 번 있는데, 수업 잘 들으면 어렵지 않게 풀 수 있다. 강의의 정석 같은 느낌임 과제 번, 시험 번인데 과제 그냥 프린트 한장 풀어가면 되는 거라 부담 별로 없. 시험도 무난하게 내심 그냥 답이 딱 정해져 있어서 깔끔함 가장 좋은 성적이랑 B 간격이 촘촘해서 가장 좋은 성적 받으려면 열심히 해야되긴 함 근데 이건 다른 강의도 다 그러니까 뭐. 강의 내용은 왜 배워야하는지 모르겠는 내용이지만 교수님이 설명을 꼼꼼하게 잘해주시기 때문에 재밌을때도 있. 수업 내용 자체가 어려운 부분이지만 교수님이 반복해서 설명해주시기에 수업만 제대로 듣는다면 괜찮은 수업임. 실용적이지 않고 좀 특이한 수업임 하지만 교수님이 잘 가르쳐주셔서 들을만 함 발표는 한번 있는데 앞에 나가서 책 읽고 해석하면 되는거라 어렵지 않. 교수님은 좋은데 수업 내용이 어렵고 실용적이진 않다. 교수님 자체는 좋으나 첨엔수업들으면서 이게 뭔소린지 하는데 계속 꾸준히 열심히 듣다보면 어느순간 이해감. 과제 개 내주시는데 걍 중간 기말치기전에 책 공부한다치고 하면 다 풀 수 있는 정도임. 그래도 이해 안 되는 건 교수님께 여쭤보면 친절히 알려주셔요. 시험도 문제 푸는 느낌이라서, 이해만 잘 되면 정말로 편한 과목이에요. 교수님이 좋아하시는 게 많이 느껴지고 귀여우심. 우리가 아는 함수나 집합, 명제등의 개념이 영어 단어로 나와있어 처음에는 혼란이 크지만 교수님께서 차근차근 설명해주시기 때문에 이해할 수 있음. 교수님도 스마트하시고 젠틀하시고. 처음에는 생소하게 느껴질 수 있지만 집중만 하면 재밌음크게 어렵진 않았고 어려운 건 흥미롭고 풀어나가는 맛이 있음암기할 건 따로 없고 이해하면서 진도 잘 따라가면 재미있게 들을 수 있는 수업이라 생각함 근데 재미랑 별개로 실생활에 어떻게 적용할 수 있을진 모르겠음. 교수님 또한 아주 좋으신분. 여태 들었던 영문과 수업중 가장 흥미로웠.  초반에 감을 잡지 못해 강의 뿐만 아니라 여러 곳에서 서칭하긴함. 전반적으로 좋은 교수님. 싸강 기준 시험시간 부족, 모르는 문제는 패스하는 것도 방법. 흐름만 이해 한다면 시험 준비는 수월. 개인적으로 학기 때 들었던 강의 중 가장 좋았습니다. 한마디로 적당한 강의 같. 과제는 번이였고 발표는 책에서 지정해주신 범위 번역해서 읽는게 끝. 교수님이 너무 귀여우시고 젠틀하심. 교수님너무 귀엽고 젠틀하심. 시험 내용은 좀 어렵지만 풀기 가능하고 워낙 재수강하는 사람이 많아서 좀 빡센 부분도 없잖아 있음. ",과제
89,이동영,영미문화와어휘,535041,"교수님이 친절하게 다 하나씩 알려주시는데 이번학기가 오픈북 시험이어서 괜찮았지 아니었으면 좀 힘들었을 수업임. 근데 재밌고 유익한 수업이었어요 감사합니다 교수님. 싸강이라 진짜 편했는데 오픈북이여도 시험 시간 많이 모자랐고, 과제는 교수님이 원하는 답 아니면 다 틀리게 하는 경향으로 느껴짐. 사실 저는 나름 꿀강의라고 생각합니다교수님께 유체크 안되었을때 말씀 드리면 다 체크해주십니다. 단어 양이 아주 방대해서 암기력이 매우 필요함시험에 출제되는 부분도 생각보다 엥스러운게 간간히 나오기도 함영어 단어 번뜩 떠오르 지 않으면 계속 생각 안 나는 문제사 다수임 그러나 교수님 수업이 매우 흥미롭. 수업은 교수님이 열정적이시지만 좀 지루한 편입니다. 문제는 그 지루한 수업 다 똑바로 들어야 시험잘보기 가능. 연습문제에서 시험안낸다그랬는데 냈고 교수님이 말한 거 이번에 기말에서 많이나왔음. 본인 외국살다왔는데 수업때 많이 졸고 그랬더니 시험 잘못봤음.  주 전에는 과제를 안내 주시기 때문에 시험공부하는데 지장 없음.  시험을 합반하여 저녁 시에 치룸 수업시간에 한 필기는 꼭 봐두는게 좋음. 교수님이 너무 젠틀하시고 친절하십니다. 타과생이여서 아무정보 없는 상태로 듣다보니까 단어자체들은 진짜 쉬운데 막상 쓸라그러는데 생각안나서 영미소설의이해 시험보다 더 짜증났음.  점인 이유는 목소리가 잘안들리고 시험 유형같은거 잘 안알려줘서. 눈에 바르는 식으로 계속봐서 익숙해져야되는게 시험 잘보는 팁인것같음. 교수님 책 세세한 부분 다 나가고 몇 개 추가하고 그러는데 이런거 어디다가 다 잘 적어놔야됨. 근데 수업이 개지루해서 미침 진짜 너무 지루해서 잠도 잘오고 딴짓하고싶고 그럼. 발표빼고 과제없음. 그래서 그 여러개중에 교수님이 원하시는 답 하나를 잘 떠올려야함. 하지만 교수님이 원하는 답은 단 하나로 정해져있. 시험 문제가 예를 들어 if랑 같은 구절이나 단어를 쓰는 거임. 시험은 좀 문제 유형이 특이함. 과제는 그냥 번 문제 풀어오는 거고 딱히 어렵진 않음. 단어라고 해서 그냥 외워서 해결되는 시험이 아니라 주관식인데 알파벳 제한이 있는 거라서 되게 어렵습니다. 교수님도 차분한데도 재밌음.  교수님께서 말하시는거에서 한두개정도 나오는듯.  무조건 들으세요 과제는 조금 까다롭긴해요 머리쥐어싸매고 해야하는.  근데 내용은 쉽지만 시험은 은근 까다롭다는거. 과제가 제일 까다로운듯. 수업 자체는 매우 쉽습니다. 수업시간에 지루할까봐 가끔 웃긴 농담도 하십니다. 비록 학점은 B 받았지만 상대평가라 그런거니 내 실수 때문임을 인정함. 교수님 정말 잘 가르쳐주심. 수업 딱 제시간에 끝내주심책에 있는 오타들 다 잡아내어 바로잡아주시고 책에 있는 예문에 더불어서 또다른 문장 영작까지 다뤄주시고 책에 있는걸 아주 샅샅이 다룸.  점 차이로 A와 B가 갈림 학점은 앞반과 뒷반 같이 주실것으로 예상됨. ",교수
114,정영희,영어음성음운론,535049,"솔직히 교수님 강의력이 너무 별로. 강의내용이나 과제가 개인적으로는 양이 좀 많고 어렵다고 느껴서 부담이 되는 부분도 있었다. 그래도 시험이나 과제에 기간을 넉넉하게 주시고 이번학기는 시험도 오픈북으로 진행되어서 그런지 학점도 잘 주셨다. 본인도 인정하셨음별거 아니지만 이런것들이 수업 준비라고 생각하는데, 오랜기간 하신 과목이라 그런지 몰라도, 그 수업에 할 내용에 맞는 예시나 보충 자료 들은 미리 체크하고 오셨으면 좋겠음그치만 질문에는 온 열의를 다해서 설명해주심 이해갈때까지 물어봐주시기도 함 그리고 학점은 a 다음에 b 로 바로 주심 점대에 엄청 빡세게 몰려있어서 열심히 공부하고 점대 성적 나와도 에이쁠 못받는 경우 많음대신 비쁠은 넉넉히 받을수있. 교수님 강의력 정말 좋으셔서 듣는 것을 추천하는 강의. 하지만 할 만하고 열심히만 하면 가장 좋은 성적 받기 어렵지 않은 강의 인 것 같다. 과제 열심히 풀어가면 중간 기말에 도움이 된다. 지정좌석 전자출결이구요, 과제는 중간고사 전에 번, 기말고사 전에 번 있어요. 과제 문제가 시험 문제로 나와도 손색없을 정도의 문제랍니다. 그러나 대부분 진도 위주의 강의고 교수님이 시간 분 넘어가시는줄도 모르고 열심히 강의하십니다. 특히 대답 잘하는 학생을 좋아하구요, 수업시간에 같이 Exercise 문제도 풀어보면서 감을 익히는 시간도 가끔 갖습니다. 중간 망쳐도 충분히 역전가능합니다. 중간고사때 점만점에 A컷이 이었을 정도로. 이해도 해야되고 암기도 해야하고 응용도 해야 풀 수 있는 문제를 시험에 내신다. 이번학기 수업은 잘 모르겠음우선 한번 하신 말씀 시간 내내 반복하신 적 많고, 뭔가 한 내용에 대한 예시를 들어주려고 하시는데 떠오르지 않아서 적절하지 않은 예시를 들은적 많음. 한국학생 특화된 수업톡 까놓고 말하면 걍 암기력 싸움그래서 그런지 주차 진행될 수록 출튀하는 사람 많고 수강생 횡함그만큼 어중이떠중이 많아서 b 받긴 쉬움근데 a 은 장담못함자기가 외우는거 자신있고 수업 빠지지않고 주차 다 나올수 있는 사람이면b 무난하게 받음. 자음분류표랑 모음사각도를 뭐 음성학이든, 영어학의세계든, 뭔강의든 상관없습니다만, 한번이라도 들어봤어야 강의듣기가 가능하실겁니다. 아래 댓글에 정영희교수님 학자 스타일이라고 하셨는데 그 이유를 너무 알것 같아요. 그래서 나는 집중력이 좋고 성실하다 싶으면 무난히 학점따갈 수 있고 아니라면 비추. 학점도 잘 주시는 편음운론 들으면 다 알겠지만 과목내용은 그냥 풀암기임. 그래도 정말 열정적으로 강의해주시는 분이라 모르는거 있으면 상세히 잘 알려주심. 싸강으로 들어서 현강에선 어떨지 모르겠지만 개인적으로는 좋았던 수업임. 시험 문제도 공부한 데에서만 나오고 퀴즈도 적당한 양이라 부담 없. 강의력이 막 엄청 좋으신 편은 아님 그래서 사람에 따라 집중이 안될 수도 있는데 워낙 열정적이시고 꼼꼼하게 알려주셔서 내용 전달에는 문제 없. 무엇보다도 음성학지식을 최소 한번 이상은 다른강의에서 듣고 암기해본 경험이 있어야 따라갈수 있습니다. ",교수
135,이응수,일본의무대예술,535062,한명한명 얼굴 다보심 휴강도 많고 야외수업도하고 과제는 없고 발표 한 번만 하면 끝임 전체적으로 꿀이긴 한데 수업이 노잼. 수업은 학생들의 발표와 교수님의 사설로 이루어진다. 시험은 교과서를 외워서 전부 적어내는 식으로 많이 어렵지는 않지만 얼마나 공부해야 하는지 몰라서 힘들었다. 이야기 듣는 것처럼 널널한 수업. 교수님이 휴강을 많이 하신다. 아 그리고 수업시간 예의를 중요시 여기셔서 모자쓰시는 거 굉장히 싫어하시니까 참고하세요. 과제도 없고 발표만 번 했습니다. 학생들에게 각 과마다 발표를 시키셔서 그 내용으로 수업을 진행하십니다.  완전 우리 할아버지같음하지만 수업은 죄금 재미없어요. ,수업
139,이인숙,교수학습이론,535082,"교수님께서 웹엑스로 팀 과제의 피드백을 주셨는데, 매우 도움이 되었다. 다만 과제 피드백 주실때 실시간 강의를 진행했는데 분위기가 굉장히 무서웠. 교수님이 별로야 진짜 너무너무 별로야 앞에서 티내고싶었어 정말정말정말좀 무딘 편이라 다른 교수님들 별로라고 생각한 적 없고 통수 맞아서 C 받았을 때도 괜찮았는데 이건 진짜 아니야이건 전필도 아니고 전선이니까 제발 다른 수업 들어 제발제발. 싸강이여서 현강 분위기는 어떨지 모르겠지만 싸강은 좋았다 개인적으로 그동안 들었던 강의 중 만족도가 가장 높았음. 배운 내용을 실제 수업에 적용해볼 수 있어서 그동안 이론적 내용들이 너무 추상적으로 느껴졌거나 실제 적용이 궁금한 학생들은 재밌게 들을 수 있을듯. 싸강으로 진행되어서 그런지 수업내용도 알찼다. 교육학 이론 그 자체보다는 실제 수업에 적용되는 내용을 담고있어서 재밌었다. 들었던 교육학 강의중에 가장 실질적 내용을 담고있다. 특히 자기 의견이 확고하거나, 실시간 피드백에 큰 압박감을 느끼는 사람에게는 맞지 않는 수업이라고 생각한다. 개인적으로는 얻은 것이 많은 수업이지만 사람에 따라 호불호가 갈릴 수 있을 것 같다. 쉬운 단계에서 어려운 단계로 과제가 제시되어 어려운 팀 프로젝트도 잘 해결할 수 있었다. 과제가 많았지만 전부 학습에 필요한 것이었다고 느꼈다. ",과제
145,이창길,인사행정론,535136,"행정학과 수업중에 팀플 제일 가혹한 수업은 아마 이게 원탑일듯싶네요. 싶긴하지만 정말 지옥의 팀플이예요 교수님때문에요.  조원은 교수님이 한명 지목해서 전체 짜라고 하는데 그 사람이 조 잘못짜면 그 수업 팀플 다 같이 망할거예요.  시험은 기말고사에 몰아서 수업나갔던 책 다 시험보고 중간중간 개인과제도 있습니다. 그래도 수업 다 듣고 종강할 때면 어떤 수업보다도 얻고 가는게 많은 수업이예요 조별과제만 안하신다면. 교수님한테 수업 또 듣고싶어요. 과제가 매주있는게 짜증나고 팀플이 엄청어려운단계이기는하지만 교수님은 정멀 좋으심. 시험횟수 번이라고 했는데 이번학기 중간고사는 책읽고 에세이 쓰는 대체과제로 봤습니다. 매주 에세이 쓰는 것도 쓰는 거지만 토론사례 만들어서 한 수업을 이끌어야하는 팀플이 제일 빡세구요. 남 앞에서 말하는 거 좋아하고 자기 생각얘기하는거 좋아하면 맘에 들 수업임 하지만 매주 토의사례를 읽고 에세이를 써야하고 가장 성적에서 비중을 많이 차지하는 팀플이 한 번 있는데 조사하고 발표하는 일반적인 팀플이 아니라 직접 전체 토론을 이끌어가야하고 임기응변에 적절히 대처해야해서 발표하는 시간 분 내내 긴장을 풀 수 없는 발표를 해야함. 팀플한번하고나면 그나마 수월한데 매주 한번은 토론수업이라 내성적이고 아는사람없으면 듣기힘든수업. 과제 많은건 둘째치고 팀플로 고통받는 수업. 발표팀이 수업을 통째로 이끌어 나가야 함. 제일 힘든건 교수님이 팀과제를 기본 번은 뒤엎고 다시 해오라 함. 대학 들어와서 이상적인 대학수업이라고 생각했던 그런 수업을 들은 것 같음이 수업에서 가장 힘든 점은 조별발표임 조는 임의로 정해주시는데 그 조원이 정말 중요한 듯 주제별로 매주 수요일마다 직접 사례를 만들어 수업의 처음부터 끝을 진행해야 함 이 과정에서 구체적이고 토론의 여지가 있는 사례를 만들어야 하는 것 부터 큰 부담 교수님 컨펌을 받고 또 다시 노력해서 만든 사례를 엎어야 한다는 빡침 이 두 가지가 강의평점수를 바닥으로 만드는 이유일듯 또한 매주마다 책에 있는 토의사례를 읽고 에세이를 써야하는데 에세이는 자 정도로만 자기 생각 쓰면 되서 그닥 어렵진 않았음매주 같은 수업 내 사람들과 토론 하는 게 나름 재밌고 인상 깊은 수업이었고 행정직 공무원에 종사하시다 교수로 오신 분이라 더더욱 현실에 맞고 적극적으로 설명해주시는 모습이 너무 좋았.  교수님과 수업이 아무리 좋았어도 이건 내년 학기에 인사행정 들으시는 분들 정말 계탄거라고 생각합니다. 단점조별과제를 내주시는데 그 과제로 토론수업을 그 조가 이끌어나간다. 솔직히 처음에 에타보고 많이 무서웠는데 조별과제끝내면 뿌듯하고 해방감이 드는 건 창길교수님이 최고인듯 두번다시 하고싶지 않. 전필 존나 엿같음토론준비하는거 엿같고시험은 중간고사는 뭐 보고서 제출형식으로 하고기말고사는 작년 문제 까버려서 족보없다는데 안심 이번 시험 출제할 주제들 알려줌암튼 팀플만 빼면 좋은 강의다. 또한 시험 문제에 있어서는 교수님이 흘리듯이, 애매하게 넘기는 듯한것은 다 나온다고 보면 됩니다.  사실 팀플은 조원빨이라 우린 조원이 다 성실하고 의견도 잘 나눠서 그렇게 힘들진 않았다. 또 매주 에세이 내주시는데 월요일 강의바탕으로 자 에세이 화욜 자정까지 제출이다. 조별과제 빡세오. 피드백 시간에 교수님께서 피드백 해주시는데 그냥 이럴거면 교수님께서 만들었으명 좋겠다 싶다. 얻는게 많고 생각의 폭을 넓혀주는 수업이다. 장점유익한 강의 매주 토론수업 강의력도 좋으시고 토론으로 조별로 이야기를 할 수 있게 한다. s 교수님께서 축구 좋아하십니다. 공부많이하시고 토론때 토론참여 열심히하시면 좋은 학점 받으실겁니디. 시험난이도는 상입니다. 중간고사는 책읽고 에세이쓰는걸로 대체되었고기말고사는 서술형 시험이었습니다. 개인적으론 토론 수업을 처음들어서 신박하고 좋았습니다. 매주 화 수업인데 월요일은 진도나가고 수요일은 토론으로 수업진행 되었습니다.  시 공복이어서 죽는줄 교수님 연구년이라 년쉬신다. 매주 과제가 있어 공부 안 할수가없습니다. 학기부터 년동안 연구년이라 내년 학기엔 이창길교수님의 인사행정론은 없. 교수님 다. 에타 강의평이나 주위사람들은 정말 혹평이 많은데 본인은 얻어가는 게 너무나도 많은 수업이었. 팀발표 끝나면 쪽짜리 보고서도 써야 됨. 너무 싫지만 교수님한테 이메일로라도 컴펌 계속 받는 게 발표 날 다 뒤집지 않는 방법인 것 같습니다. 발표과제는 팀이랑 주제 정해지면 적어도 발표 한 달 전부터는 카톡으로라도 큰 틀 잡아가면서 팀플하시구요. 어차피 교수님이 원하는 방향은 있는데 그럴거면 처음부터 좁게 잡아주지 왜 풀어놓고 있다가 나중에 컴펌 받으러 가면 다 뜯어고치시는지 모르겠어요. 일단 너무 힘들구요 정말 생각 깊게하고 토론 토의 좋아하는 분들은 좋아하시던데 저같이 발표싫고 생각 깊게 못하시는 분들은 토론수업시간마다 긴장해서 힘드실 것 같아요. 매주토론하고 매주에세이제출하고 번 토론진행하는 팀플있습니다. 꼭 행정학과 재수강하는 사람이라던지 이 수업의 악평을 아는 행정학과 사람과 조를 해야합니다. 콩국수는 호불호가 많이 갈리는 음식이죠 이 수업도 마찬가지입니다. 교수님 돌아오기 전에. 그냥 이상만 높고 현실을 전혀 모르는 교수님이십니다. 창길이형 강의는 듣는 게 아니에요 전필이니까 졸업할라고 듣는 거지, 얻는 것도 없음. 교수님이 진짜 깐깐징어 급으로 깐깐하십니다. 다시 들으라면 절대로 안들을 수업이지만 전필. 매주 과제 매주 토론. ",과제
190,이수연,복지행정론,535141,"수업중간에 학생들을 위해 쓴소리 많이해주십니다. 시험은 서술형이구요, 교과서 달 달 외우시면 시험성적 좋게받으실수있습니다. 그리 부담되지 않은 수업이니, 교과서 많이 읽으면서 시험공부하시면될것같습니다. 수업 중간에 취업 관련 정보도 이야기해주시고 좋은 말씀도 자주 해주신다. 무엇보다 과제가 너무 많은게 이 강의의 최대 단점이다. 팀플은 없었고 시험은 중간 때 빈 칸 채우기, 기말은 서술형이었다. 솔직히 날로먹는 수업 좋아하고 성실한 사람도 아닌데 이렇게까지 현타오는 수업은 처음이었다 아무말 대잔치 수업 듣고 ebs다큐 보고 한주 수업이 끝나면 이딴식으로 수업하는 교수가 무례하다고 느껴질 정도 학생에 대한 일말의 예의도 없는 수업 다. 수업부터는 팀플까지 한다는 말이 있음. 월요일은 교재 수요일은 ebs 영상이나 복지관련영화보기 개인발표 로 이루어지는 수업 교수님은 착하신데 그렇게 얻을게 많은 수업은 아니고 중간은 단답식 기말은 서술형 교재만 암기하면 성적 잘나옴. 시험은 수업하시는 책에서 출제되니 책을 잘 정독하고 정독한 내용 잘 풀어쓰면 어렵지 않다. 시험은 수업내용 교재 내용 외워서 쓰면 되고 과제도 기말때까지 아무때나 내는거라 과제 많은거에 비해선 너무 부담스럽진 않음. 아주 심각한 좌편향 위주의 수업 설명한 것 없이 내는 시험. 교수님이 친절하시고 조곤조곤 잘 설명해주신다. 과제는 교양 치고는 많다고 느껴질 수 있으나 어렵지 않고 과제 제출기한도 넉넉해 괜찮다. 사회복지학과도 아니고 전선이 없어서 듣기는 했는데 유익하지도 않고 시간만 잡아먹는 수업이다. 솔직히 행정학과인데 왜 이 수업이 있는지 모르겠다. 쉽게 말해서 복지국가찬양 수업이고 좌편향 수업임. 주 목요일까지 우리나라와의 비교문과 자신의 사례 적용 과제를 제출해야하는데, 매 주 과제가 있다. 매주 목요일 수업 시간에 다큐 한 편보고 그 다. 하지만 강의 자체는 지루한 부분이 많아서 힘들다. 교수님은 좋으신 분이다. 교수님 좋으신분입니다. ",수업
217,신은자,정보리터러시,535161,다만 하루이틀만에 끝내기에는 양이 좀 많고 교수님의 수업이 액티브하지 않아 졸음이 몰려올 수 있. 시험볼때 교수님께서 하신말을 적는것도 중요하지만 그냥 자기가 생각할때 맞는것같다라고 생각한걸 적는게 점수가 더 잘 나올수있어요. 공부한만큼 나오는 정직한 수업임전부 플러스 로만 주심힘들다는 사람들은 그만큼 자기가 안해서 안나오는게 팩트. 팀플없어서 너무 좋아용책으로 수업하고 범위가 많은 편이기는 하나 공부한 만큼 나오는듯. 너무힘들어요 공부하기랑 교수님수업듣는거. 그나마 신방과 안에서 한 줄기 오아시스와도 같은 강의 팀플 지옥인 신방과에서 팀플이 없는 몇 안 되는 수업이니 듣는 걸 추천 교수님은 좋으시지만 흔히 더 리더 책 읽어주는 여자라고 불리기도 한다 어느정도 지루한 감이 있다는 거 참고해라 하지만 그럼에도 학점 챙기기는 좋은 수업 수업 시간에 언급하는 내용 잘 필기하고 숙지해두면 성적 잘 받을 수 있. 거기다 교수가 시험 때 부분점수를 뿌려서 애매한 답 적어도 부분점수 받는 경우 많으니 시험 때 모른다고 빈칸으로 내지 말고 뭐라도 적어서 내는게 팁이다. 수업들으려면 무조건 앞자리. 하지만 수업이 좀 내용이 방대해요. 시험때도 그냥 점수주시려고 노력하시구요. 일단 교수님은 좋습니다. 팀플 없습니다. 갓은자교수님입니다. 공부만 하면 잘 나오고 뭐라도 쓰면 교수님이 추가 점수를 주시니 뭐든 쓰세요. ,수업
